pond,Sample ID,survey,TN_mg_L,Date_time_analysis,P_ug_L,treatment,isolation
A1,11.01.18_a1,3,3.83,17/12/2020 08:49,117.7,control,30
A2,11.01.18_a2,3,3.899,17/12/2020 09:00,97.2,pasture,30
A3,11.01.18_a3,3,4.662,17/12/2020 09:11,268.5,sugarcane,30
A4,11.01.18_a4,3,4,17/12/2020 09:20,100.6,control,30
A5,11.01.18_a5,3,5.238,17/12/2020 09:32,157.2,pasture,30
A6,11.01.18_a6,3,4.535,17/12/2020 09:45,188,sugarcane,30
A7,11.01.18_a7,3,3.264,17/12/2020 09:54,80,control,30
A8,11.01.18_a8,3,3.134,17/12/2020 10:04,131.4,pasture,30
A9,11.01.18_a9,3,5.278,17/12/2020 10:16,150.3,sugarcane,30
A10,11.01.18_a10,3,4.022,17/12/2020 10:26,86.9,control,30
A11,11.01.18_a11,3,3.796,17/12/2020 10:35,102.3,pasture,30
A12,11.01.18_a12,3,4.734,17/12/2020 10:46,157.2,sugarcane,30
A13,11.01.18_a13,3,4.142,17/12/2020 10:58,150.3,control,30
A14,11.01.18_a14,3,4.864,17/12/2020 11:10,198.3,pasture,30
A15,11.01.18_a15,3,5.446,17/12/2020 11:22,165.7,sugarcane,30
B1,11.01.18_b1,3,3.226,17/12/2020 11:39,49.2,control,30
B2,11.01.18_b2,3,4.027,17/12/2020 11:49,141.7,pasture,120
B3,11.01.18_b3,3,6.067,17/12/2020 12:03,155.4,sugarcane,120
B4,11.01.18_b4,3,4.247,17/12/2020 13:57,150.3,control,120
B5,11.01.18_b5,3,4.01,17/12/2020 14:07,93.7,pasture,120
B6,11.01.18_b6,3,8.996,17/12/2020 14:51,373.1,sugarcane,120
B7,11.01.18_b7,3,4.353,17/12/2020 14:20,90.3,control,120
B8,11.01.18_b8,3,3.89,17/12/2020 14:29,121.2,pasture,120
B9,11.01.18_b9,3,4.125,17/12/2020 14:40,117.7,sugarcane,120
B10,11.01.18_b10,3,3.943,18/12/2020 09:17,81.7,control,120
B11,11.01.18_b11,3,4.931,18/12/2020 09:27,162.3,pasture,120
B12,11.01.18_b12,3,4.59,18/12/2020 09:39,129.7,sugarcane,120
B13,11.01.18_b13,3,4.391,18/12/2020 09:56,74.9,control,120
B14,11.01.18_b14,3,4.585,18/12/2020 10:08,126.3,pasture,120
B15,11.01.18_b15,3,5.775,18/12/2020 10:19,153.7,sugarcane,120
C1,11.01.18_c1,3,5.669,18/12/2020 10:29,134.9,control,480
C2,11.01.18_c2,3,7.35,18/12/2020 10:40,167.4,pasture,480
C3,11.01.18_c3,3,5.832,18/12/2020 10:52,155.4,sugarcane,480
C4,11.01.18_c4,3,4.043,18/12/2020 11:03,81.7,control,480
C5,11.01.18_c5,3,3.569,18/12/2020 11:13,88.6,pasture,480
C6,11.01.18_c6,3,13.12,18/12/2020 11:24,270.3,sugarcane,480
C7,11.01.18_c7,3,5.123,18/12/2020 11:35,74.9,control,480
C8,11.01.18_c8,3,4.187,18/12/2020 11:47,117.7,pasture,480
C9,11.01.18_c9,3,11.29,18/12/2020 12:00,359.4,sugarcane,480
C10,11.01.18_c10,3,5.058,18/12/2020 13:52,86.9,control,480
C11,11.01.18_c11,3,4.585,18/12/2020 14:04,49.2,pasture,480
C12,11.01.18_c12,3,5.166,18/12/2020 14:16,121.2,sugarcane,480
C13,11.01.18_c13,3,10.46,18/12/2020 14:27,294.2,control,480
C14,11.01.18_c14,3,4.055,18/12/2020 14:38,74.9,pasture,480
C15,11.01.18_c15,3,3.878,18/12/2020 14:48,68,sugarcane,480
