,lat,long
A1,-22.805206,-49.187332
A2,-22.805149,-49.187597
A3,-22.805038,-49.187837
A4,-22.804896,-49.188107
A5,-22.804883,-49.188362
A6,-22.804807,-49.18866
A7,-22.80472,-49.188898
A8,-22.804648,-49.189106
A9,-22.804524,-49.189461
A10,-22.80457,-49.189705
A11,-22.804408,-49.189995
A12,-22.804414,-49.1903
A13,-22.804259,-49.190705
A14,-22.804265,-49.190928
A15,-22.804109,-49.19113
B1,-22.80601,-49.187253
B2,-22.805942,-49.187642
B3,-22.805808,-49.18801
B4,-22.805776,-49.188246
B5,-22.805562,-49.18862
B6,-22.805498,-49.189036
B7,-22.805489,-49.189345
B8,-22.805343,-49.189463
B9,-22.805129,-49.189584
B10,-22.805056,-49.190009
B11,-22.805144,-49.190187
B12,-22.804937,-49.190482
B13,-22.804826,-49.190706
B14,-22.805071,-49.190953
B15,-22.804798,-49.19126
C1,-22.808971,-49.188626
C2,-22.808895,-49.188847
C3,-22.808984,-49.189244
C4,-22.808691,-49.189534
C5,-22.808646,-49.189966
C6,-22.808722,-49.190162
C7,-22.808608,-49.190327
C8,-22.808425,-49.190568
C9,-22.808372,-49.190833
C10,-22.808437,-49.191107
C11,-22.808191,-49.191329
C12,-22.808171,-49.191503
C13,-22.808108,-49.191754
C14,-22.8081,-49.192096
C15,-22.807997,-49.192418
